crash_id,intersection_id,int_num,direction,distance,latitude,longitude
558202,4779,2408,At,0,37.3318178693409,-121.904728384533
558219,,107227,East,,,
558235,4788,31041,South,68,37.2368154268055,-121.801124831032
558251,4142,4311,South,269,37.3169640335631,-121.880750346699
558268,1484,99186,South,45,37.3066507781841,-121.852776383959
558200,12043,14079,At,0,37.3233830116976,-121.931949005288
558216,5000,10482,At,0,37.325994442097,-121.89453884121
558232,,37861,,33,,
558250,4423,59058,At,0,37.3036026313517,-121.843461362986
558264,7162,102475,At,0,37.3225613357693,-121.815910260152
558271,5896,16444,At,0,37.3066679049116,-121.806264241976
558208,3646,56957,At,0,37.3458069486507,-121.894895964496
558224,7829,81476,At,0,37.358721918753,-121.815342889804
558201,2142,32889,East,211,37.2744197493218,-121.859586115975
558218,,122066,East,,,
558234,,125234,At,0,,
558238,11769,39710,At,0,37.2996720517186,-121.982907976287
558254,,87009,South,,,
558198,5986,79683,East,125,37.34533266005,-121.848347761662
558214,3418,63030,At,0,37.3505912061686,-121.897038004113
558230,6697,108162,At,0,37.3079585185417,-121.847653940279
558248,1552,111594,At,0,37.3585513669752,-121.880272268774
558259,3059,79573,At,0,37.3606702591729,-121.863342213634
558275,540,4652,North,38,37.2591623547112,-121.876241527927
558206,3588,112562,At,0,37.3391143630792,-121.865619121545
558222,3182,40281,At,0,37.3270492134101,-121.851292807942
558210,1548,59730,At,0,37.3558882529171,-121.885881818651
558226,1643,90727,South,297,37.3226731728134,-121.913746953606
558243,11815,103850,At,0,37.323115028169,-121.983836413734
558260,12634,77660,At,0,37.3372814846911,-121.896885608468
558276,3667,95930,West,12,37.3340302701678,-121.87753919672
558285,6170,77516,At,0,37.2537182986725,-121.825911499357
558249,7992,75965,At,0,37.3541322200183,-121.839349088035
558267,4454,71576,East,116,37.3565682478275,-121.89667038902
564932,3136,54790,West,70,37.3568113289619,-121.896158358658
564917,8123,32306,North,120,37.3585747923685,-121.832360557155
564936,4773,14992,South,62,37.3689288713099,-121.907880039227
564930,5676,61270,At,0,37.3443799202779,-121.79752127303
564901,8911,108932,East,52,37.3869660904449,-121.871457521244
558209,7465,33032,South,10,37.3312243342144,-121.812740386915
558213,3502,110318,At,0,37.3401051968392,-121.890647110511
558229,,76230,West,,,
558246,,17390,,,,
558263,5034,124277,South,185,37.2439357328158,-121.80392063919
558279,1647,26916,South,412,37.32233200186,-121.919036200023
558247,4348,98295,South,80,37.2800543890241,-121.814667288264
558265,4634,62138,At,0,37.2525204091382,-121.797205302165
564943,5917,55065,At,0,37.2835024857013,-121.832867049435
564951,11854,21560,At,0,37.3097937001644,-121.998109169842
564935,10125,89605,West,55,37.3810327565668,-121.826530889304
564919,8181,143987,West,105,37.3531903373772,-121.823546604406
564949,7956,32416,North,75,37.3968202518323,-121.871950453826
564933,11084,13177,South,15,37.302973147572,-122.03224463712
564952,5372,1418,At,0,37.3139658168761,-121.791524037822
564950,8678,115060,North,15,37.4112014065745,-121.958334421105
564957,3188,95985,North,61,37.346834445993,-121.887035608378
564963,5778,46310,West,130,37.2471710671808,-121.832236633626
564956,9486,17621,West,265,37.3937133541979,-121.8501499095
564988,5677,23286,East,118,37.3249902057735,-121.822016257685
564972,3464,79474,At,0,37.3580661648788,-121.860763103519
564981,10958,107645,North,100,37.3084021655015,-121.977617252206
564968,,106358,East,,,
564993,9087,102486,South,255,37.3242772575078,-121.782219817628
564970,12510,2936,At,0,37.3210581836686,-121.97551653942
564969,5287,44175,East,295,37.2329193586673,-121.802812259941
564944,6982,32999,North,15,37.3508728078867,-121.82702146087
564942,4445,2727,North,40,37.3398768538687,-121.921985619821
564907,4054,106149,South,210,37.3320085158369,-121.884616756972
564902,5300,20162,At,0,37.2506273999223,-121.841210522684
564965,7638,106985,At,0,37.3225990794216,-121.802573767581
564962,8892,61148,East,500,37.3960537019902,-121.881667193816
564991,7938,124354,East,2640,37.2785657697781,-121.775836987337
564986,1804,52580,North,420,37.2867032480443,-121.913469116988
564995,3522,59828,North,12,37.3280312425957,-121.878708982402
564979,2792,126378,At,0,37.2802128710141,-121.854272861861
564984,2583,66472,At,0,37.3045561745194,-121.909689077456
564987,5358,85865,West,300,37.3216472760865,-121.849993019803
564994,3719,55857,At,0,37.3411928785566,-121.879986303242
564976,8121,109020,South,45,37.3562421722042,-121.835815296066
565040,2968,48223,South,120,37.3315917875048,-121.92653835453
565044,8877,32482,North,27,37.3701363666601,-121.843069611793
565029,3665,106369,At,0,37.3388776853166,-121.879692000934
565030,9031,100847,At,0,37.394997513899,-121.844629556077
565000,,55373,North,310,,
565041,3833,10295,At,0,37.3292640640457,-121.900010399094
565023,4673,14970,South,15,37.3545723373743,-121.865735680817
565021,3852,83995,At,0,37.3261421684972,-121.908837460021
565022,,79640,South,,,
565045,12532,137763,At,0,37.3518161455689,-121.922796550051
565010,12625,137686,South,75,37.353617491688,-121.851045836631
565042,1459,90639,North,38,37.3167308983235,-121.914303607619
558203,8612,79617,West,333,37.3393161478133,-121.843986066828
558220,7960,2122,West,465,37.3973415394995,-121.868885551238
558236,1458,99846,At,0,37.3128820879337,-121.910937802955
558252,2369,47618,East,111,37.2985567404133,-121.868761977791
558269,4953,23913,South,48,37.2673711658208,-121.822061455105
558205,,111704,,,,
558223,,79750,At,0,,
558239,4733,19590,At,0,37.2483053195288,-121.839780631269
558255,4638,71543,East,16,37.3522641702474,-121.905632297665
558266,4460,92784,North,170,37.2878875601895,-121.845529521604
558197,2549,20547,East,27,37.2438386785002,-121.889056092891
558215,11422,13727,South,75,37.2659900243058,-121.941170291994
558231,12513,79188,At,0,37.3201511537965,-121.972431617378
558204,5945,51314,East,2,37.3526127195851,-121.8367404187
558221,6778,45165,South,15,37.302367788207,-121.823979058272
558237,6830,82367,East,264,37.3549940332116,-121.84526708294
558253,12630,96777,North,39,37.2958492446303,-121.768715729709
558270,3828,50148,At,0,37.327467483892,-121.895632506663
558207,,79617,West,,,
558225,3715,105918,At,0,37.3388292268715,-121.875656972509
558241,3502,110318,At,0,37.3401051968392,-121.890647110511
558257,2230,90661,At,0,37.3140833420048,-121.913143836253
558273,,32823,West,,,
558199,3158,109119,At,0,37.341590064561,-121.857951066078
558217,,20129,West,,,
558233,3921,10493,East,17,37.322382140882,-121.900845289667
558212,9199,66197,North,68,37.3721100797857,-121.893707329016
558228,8986,97987,West,339,37.3919203628309,-121.908195512661
558245,2142,32889,North,1400,37.2744258127305,-121.860311106232
558262,12209,15180,At,0,37.3269657269116,-121.945168783346
558278,2369,47618,At,0,37.2983786154284,-121.869071357665
558242,12505,22791,South,66,37.3172019721517,-121.966064187009
558258,3950,79595,At,0,37.3520190796143,-121.854795466543
558274,,90045,South,,,
564908,7357,38940,At,0,37.3363016742151,-121.83960932367
564926,,111000,South,,,
564922,3665,106369,At,0,37.3388776853166,-121.879692000934
564945,1654,86074,South,200,37.2540278329011,-121.895079653032
564924,10403,99494,West,187,37.300814632229,-121.98018808554
558211,10249,32460,At,0,37.3787519129372,-121.851914874247
558227,,41580,,,,
558244,3599,54724,South,190,37.3403705094422,-121.869646921851
558261,5232,20459,At,0,37.2512882402935,-121.830837816662
558277,3335,106501,At,0,37.3449375933227,-121.867095598817
558240,2277,7842,North,292,37.2416388173605,-121.888065489651
558256,2662,83930,North,20,37.3036465308271,-121.89736820174
558272,3128,87174,At,0,37.2920551556797,-121.893274025423
564909,8682,83115,At,0,37.3939622318641,-121.846420988199
564940,10627,30557,East,15,37.2655129342063,-121.940177879215
564939,12635,69080,West,18,37.3364550775647,-121.898792105553
564913,3519,113585,At,0,37.3223466929944,-121.895143516392
564915,4250,55000,At,0,37.3092659621469,-121.901650581056
564899,6714,32823,South,150,37.3068198195959,-121.811171204133
564941,3195,55934,At,0,37.3476906490449,-121.884822410181
564916,7877,114344,At,0,37.3331480977875,-121.807272498572
564958,9775,114894,East,48,37.3918583274362,-121.889662331913
564964,5475,85910,At,0,37.3127871740543,-121.840205385857
564959,58,74942,At,0,37.2806761231397,-121.897697352457
564989,3088,97184,West,250,37.3686631215354,-121.906802229703
564980,3986,104389,At,0,37.328802855407,-121.859436014007
564996,940,125333,South,45,37.2487721544658,-121.909817639014
564975,7003,121043,At,0,37.3539189418583,-121.827480014933
564990,3668,103487,At,0,37.325191947632,-121.888091162601
564974,,93170,,,,
564992,1485,117193,At,0,37.3126001936788,-121.852572799856
564910,6057,111000,At,0,37.3561417375772,-121.819146783396
564918,3089,66208,West,37,37.3677117291954,-121.902644292196
564927,6653,87658,West,399,37.347414576211,-121.847682087499
564960,1331,20140,South,250,37.2481320270934,-121.881381850039
564961,6011,32515,At,0,37.3477689280583,-121.824619359769
564966,7685,63128,South,365,37.3091730483363,-121.782452063635
564971,6714,32823,At,0,37.307129805346,-121.810834931531
564997,6775,60884,North,415,37.3165472184344,-121.828895531962
564978,10163,84149,West,120,37.3916199348707,-121.836795171344
564977,71,20954,East,264,37.2730240450363,-121.853701820288
564982,3618,101881,At,0,37.3138201363381,-121.891022856013
564973,,59817,East,,,
564983,5030,116676,East,102,37.2572342634781,-121.798539252766
565037,3548,60290,At,0,37.3405478488363,-121.893828086266
565026,154,62490,South,75,37.259971231227,-121.90545805455
565011,1116,44021,South,300,37.2869750136013,-121.893209128752
565012,4130,4344,At,0,37.3206919388621,-121.883524803148
565034,4448,56704,West,63,37.3375794959406,-121.922393020478
565032,9996,80332,North,57,37.4044593182708,-121.866862058054
565027,7380,82818,West,189,37.3396305470221,-121.822021016503
565003,3415,84094,At,0,37.3236102949899,-121.908665943995
565036,10203,102310,North,140,37.4070271815896,-121.878999167477
565002,7956,32416,North,15,37.3967089842777,-121.871798237751
565001,6057,111000,West,300,37.3561417375772,-121.819146783396
564999,7959,91277,South,65,37.3979803057801,-121.872535722418
565057,,9316,North,,,
565051,7171,83412,South,150,37.2942336796764,-121.841831418615
565069,,32944,East,,,
565050,1089,28093,At,0,37.2387821732071,-121.850801341529
565054,2815,144184,At,0,37.2927288453587,-121.85051938769
565070,3738,2750,At,0,37.3317755894693,-121.905647568662
565063,10879,47640,At,0,37.2725513346726,-121.932917032408
565062,2529,91541,South,135,37.2603360608425,-121.863572915773
565087,,90045,West,,,
565080,7182,98097,West,187,37.2991166911591,-121.845929785653
565083,10005,11857,South,266,37.4047260267072,-121.871732562554
565112,,99109,West,290,,
565115,8023,92663,South,55,37.1838666637827,-121.705588046168
565113,,98493,At,0,,
564985,2133,23649,East,302,37.2511300705592,-121.912045374766
565017,4191,71598,East,75,37.3560092022535,-121.897844310195
565014,2985,51303,South,305,37.3640093826311,-121.866633666912
