id,total_crashes,injured,ksi
32208,3,2,0
32967,2,1,0
33209,8,3,0
33495,19,13,3
14734,15,21,0
25520,20,18,1
18606,20,16,1
27782,24,11,0
28084,23,9,0
28085,18,9,0
33750,23,11,0
32101,15,5,0
32425,6,2,0
33013,4,2,0
18658,10,8,2
18659,13,17,1
19633,7,5,0
19989,5,4,0
24321,4,0,0
24734,5,1,0
24898,10,3,0
25850,5,0,0
29064,4,1,0
29293,2,1,0
29418,2,1,0
29665,2,1,0
33821,6,2,0
34314,3,1,0
34315,7,4,0
34519,14,14,1
30672,8,5,2
31470,7,9,2
31852,7,6,2
15988,33,19,2
27424,21,28,2
22339,7,7,1
23321,3,3,1
23328,5,4,1
23913,6,6,1
29479,21,9,2
34212,14,8,1
34213,14,8,1
34895,19,7,1
34896,16,12,1
28323,53,19,3
18611,53,26,2
18655,47,21,4
20177,62,35,3
33783,8,1,0
33968,5,0,0
34159,6,3,0
34957,5,0,0
34764,11,9,2
34765,11,10,2
34781,10,13,2
34226,46,26,4
32008,3,1,0
32766,4,1,0
32767,5,4,0
24004,2,0,0
24616,3,1,0
24673,3,0,0
33683,10,9,0
33727,12,8,0
33965,13,12,0
33966,12,11,0
28336,28,23,2
194,4,1,0
250,5,4,0
251,11,11,2
27760,23,11,0
36503,13,6,0
25807,19,7,0
26132,22,18,0
32275,6,4,0
8614,6,3,0
16412,3,2,0
16801,6,3,0
16847,4,2,0
32115,8,5,1
33146,5,4,1
34333,28,15,1
33655,14,8,2
30637,1,1,0
33644,22,22,1
32776,3,0,0
33641,2,0,0
33643,3,0,0
3912,2,0,0
24167,40,15,1
27882,16,11,0
26930,15,11,0
26948,11,7,0
26950,12,10,0
31514,45,30,1
13494,19,15,0
28637,9,11,0
17562,9,6,1
36666,11,10,0
9099,10,8,0
12872,8,9,0
11568,37,26,2
12545,7,4,0
13177,11,4,0
23426,9,10,1
23841,9,10,1
25472,11,12,2
26448,9,10,1
1009,4,3,0
30733,32,16,0
34058,16,11,0
21168,7,4,0
29187,29,25,1
29588,45,31,2
29589,27,21,1
29590,28,25,1
35334,6,3,0
34552,6,1,0
7660,1,0,0
1395,4,3,1
24165,36,25,2
30001,23,15,1
32355,27,13,0
33520,24,14,0
33522,25,14,0
23782,21,7,0
34685,2,0,0
27637,16,16,2
549,10,5,0
611,9,1,0
612,18,23,1
14239,2,0,0
32647,63,24,2
29492,14,16,0
31882,27,18,0
13423,16,10,1
14522,3,2,0
15443,23,16,0
26187,1,0,0
26188,1,0,0
26211,2,0,0
4068,2,0,0
30288,5,3,0
19341,8,6,0
26951,1,0,0
34329,6,5,1
34745,8,7,3
16018,6,5,1
16851,5,4,1
24663,2,2,0
25336,4,4,0
25337,3,3,0
